id,value:
4782938,938
3852888,888
337440,440
988777,777
3433945,945
4227677,677
2168548,548
1533087,87
2781336,336
2000074,74
1085194,194
1466144,144
2938764,764
3180263,263
498779,779
692031,31
1074050,50
665447,447
2144871,871
1141170,170
1450701,701
2072092,92
4349617,617
928809,809
2451730,730
855826,826
586867,867
3580258,258
3390279,279
3954373,373
2297410,410
4045703,703
1908210,210
4779155,155
4765832,832
3881083,83
754509,509
7926,926
3133370,370
4200887,887
3198138,138
1455889,889
4989693,693
3184378,378
3040801,801
1577574,574
4426129,129
179511,511
2542193,193
2562636,636
4570589,589
2208347,347
4463614,614
2498209,209
376945,945
48589,589
4793010,10
2613625,625
650322,322
3288556,556
4033918,918
3779717,717
3474839,839
1280385,385
1681810,810
2169920,920
674230,230
2897096,96
3989785,785
3617396,396
25050,50
2043427,427
4084864,864
4693744,744
46954,954
2106583,583
4900314,314
3484315,315
3387736,736
3016536,536
2453133,133
1353018,18
2456463,463
2600056,56
4275106,106
1761208,208
4831592,592
1060516,516
2034105,105
4769130,130
272399,399
2343389,389
3441997,997
1499756,756
2235649,649
3812753,753
1725918,918
4261289,289
1509122,122
3030869,869
1754738,738
197734,734
439816,816
913536,536
2910140,140
1773283,283
1886368,368
4429401,401
2063689,689
1068400,400
3073042,42
3719482,482
2958605,605
481902,902
3426019,19
4495168,168
4359635,635
3747838,838
2664012,12
506932,932
3380533,533
4589997,997
4494022,22
4821235,235
4085055,55
1597964,964
3258805,805
2497888,888
1579556,556
3700928,928
4298587,587
2719231,231
2125431,431
2861855,855
505350,350
4788328,328
3253648,648
4435922,922
935288,288
745934,934
596374,374
165487,487
7240,240
2656694,694
199963,963
967520,520
412457,457
129995,995
3693460,460
4400872,872
1504306,306
4749237,237
4439756,756
1149659,659
3609215,215
3452352,352
2366903,903
4314359,359
3466598,598
2796086,86
1064396,396
538283,283
287402,402
3693281,281
2088667,667
3534594,594
4537697,697
2449998,998
243874,874
2440692,692
4867026,26
965672,672
1100973,973
615101,101
381917,917
3947026,26
4867468,468
1637086,86
3369671,671
2745050,50
3658339,339
1003309,309
580741,741
4787324,324
834229,229
2108137,137
1678331,331
3581804,804
2890199,199
3617922,922
2776147,147
4956978,978
1750514,514
4261827,827
4430348,348
3904895,895
2050978,978
1952603,603
3017623,623
667892,892
4502146,146
2234036,36
3062194,194
2878431,431
4935456,456
4610776,776
2944667,667
369321,321
3272631,631
3248670,670
1898154,154
954933,933
3791625,625
1541556,556
3490903,903
4802135,135
1353528,528
3546392,392
2472048,48
2888668,668
4143453,453
3847634,634
2545107,107
126393,393
4071416,416
2714075,75
1889792,792
3770630,630
2486315,315
2336409,409
793526,526
2397083,83
4734227,227
4260683,683
176885,885
4114981,981
4943394,394
255174,174
1047935,935
4613981,981
1364550,550
1019610,610
4693717,717
2899708,708
1518272,272
641785,785
968727,727
987827,827
4747230,230
1636490,490
3966339,339
1750696,696
514945,945
909273,273
4857617,617
3504082,82
3893734,734
2165975,975
2829885,885
2956095,95
2650493,493
4599905,905
3894555,555
2477995,995
2349699,699
1142596,596
1879033,33
2444310,310
4775742,742
291771,771
2984126,126
2240014,14
1387674,674
4676992,992
3825638,638
3771947,947
2915180,180
3193540,540
3761669,669
1431863,863
942973,973
1670995,995
4748205,205
1092541,541
2098778,778
3372892,892
4816415,415
4094979,979
1385765,765
940861,861
2191508,508
4628262,262
2914966,966
1902666,666
4242489,489
3191362,362
3846838,838
3305251,251
4875977,977
1489437,437
4775839,839
2837424,424
4949870,870
2258806,806
4322451,451
1740314,314
822260,260
2954269,269
2128306,306
4361575,575
95323,323
1052408,408
3711089,89
963499,499
855129,129
159066,66
4771434,434
2109257,257
292048,48
2181582,582
533022,22
1993082,82
2092560,560
4910533,533
2357089,89
4819740,740
3099642,642
2787918,918
4556024,24
1202628,628
4210173,173
851365,365
4788532,532
2181789,789
2474603,603
3791279,279
681314,314
1104831,831
874731,731
2110054,54
2514633,633
2240458,458
3125101,101
241829,829
2160708,708
3484938,938
3405841,841
2898304,304
4314127,127
2727367,367
2943188,188
1658629,629
1310952,952
1047824,824
2831207,207
338150,150
1146742,742
1881155,155
2316525,525
1516752,752
4389149,149
4471261,261
83569,569
293146,146
1682071,71
3155157,157
4731184,184
1172235,235
2463798,798
4778790,790
2005478,478
2499043,43
4516712,712
3944402,402
4137101,101
4259731,731
1134989,989
3640275,275
1081459,459
4213197,197
3043101,101
3182635,635
3078601,601
307996,996
974338,338
89669,669
2033528,528
1172097,97
4649334,334
2774238,238
1631482,482
4733308,308
2051765,765
592088,88
1717224,224
