id,value:
127226,226
356359,359
120341,341
320835,835
247847,847
222922,922
376945,945
448268,268
46954,954
449278,278
236939,939
128300,300
199761,761
175730,730
165487,487
129995,995
320953,953
354557,557
156178,178
273593,593
493229,229
173256,256
199956,956
9644,644
61831,831
162969,969
494473,473
98872,872
246060,60
149004,4
356441,441
490587,587
95323,323
50630,630
308165,165
327919,919
468398,398
279521,521
343039,39
338813,813
375696,696
485777,777
62691,691
169851,851
228994,994
168064,64
237703,703
332441,441
175154,154
352457,457
325009,9
77353,353
48647,647
208967,967
238919,919
363459,459
436082,82
120438,438
3794,794
476327,327
204244,244
176946,946
240116,116
167230,230
270722,722
292794,794
114617,617
177210,210
192969,969
350894,894
56214,214
258039,39
355289,289
127371,371
435096,96
30479,479
105966,966
25168,168
498646,646
363952,952
192380,380
339175,175
77570,570
383722,722
40901,901
209293,293
336950,950
317667,667
444012,12
271557,557
86824,824
143501,501
177924,924
130849,849
438804,804
298699,699
389597,597
267159,159
347702,702
103889,889
139481,481
19669,669
412208,208
67051,51
74810,810
351803,803
462833,833
447305,305
249467,467
330335,335
126900,900
490990,990
24602,602
138486,486
416251,251
275859,859
468162,162
396430,430
22062,62
388313,313
345182,182
485080,80
492385,385
368499,499
340315,315
440370,370
121644,644
329724,724
277426,426
483541,541
77466,466
364584,584
379738,738
395789,789
465588,588
469173,173
224335,335
456765,765
98183,183
406956,956
303841,841
287775,775
12897,897
5006,6
467092,92
103232,232
158700,700
159123,123
351179,179
30646,646
295816,816
344957,957
38780,780
218113,113
419778,778
401351,351
55352,352
464380,380
410272,272
499631,631
110234,234
141134,134
499074,74
338791,791
418619,619
253896,896
125334,334
303520,520
481617,617
16294,294
252647,647
119113,113
216947,947
176207,207
200203,203
301784,784
254125,125
299735,735
89501,501
310111,111
302797,797
179259,259
298412,412
120193,193
115333,333
113154,154
34870,870
310140,140
203470,470
476195,195
231529,529
110937,937
96652,652
180428,428
186541,541
313725,725
207225,225
156170,170
39705,705
179308,308
230899,899
475536,536
176553,553
6423,423
292936,936
50677,677
52822,822
387407,407
260127,127
462466,466
52457,457
56116,116
385288,288
429639,639
253278,278
455767,767
132693,693
270695,695
407477,477
274102,102
426567,567
250448,448
88509,509
74792,792
172527,527
117965,965
179462,462
289463,463
87276,276
172171,171
100776,776
199696,696
244353,353
335823,823
343553,553
210860,860
135918,918
4670,670
406656,656
195534,534
299927,927
207541,541
43010,10
25875,875
319808,808
18528,528
490611,611
242664,664
195525,525
397832,832
334403,403
451901,901
457955,955
76657,657
56513,513
310429,429
12962,962
363398,398
78266,266
306428,428
119611,611
477026,26
104467,467
290841,841
139012,12
233510,510
315459,459
154245,245
176777,777
375072,72
415375,375
109589,589
168874,874
320016,16
12912,912
117930,930
154150,150
418101,101
320270,270
127296,296
128847,847
92100,100
482388,388
350870,870
422973,973
38990,990
54732,732
144725,725
263826,826
24968,968
150857,857
400033,33
243717,717
55145,145
267119,119
448064,64
73909,909
206523,523
212379,379
267519,519
481693,693
32175,175
2064,64
152808,808
489499,499
330870,870
326247,247
412929,929
226985,985
25833,833
444579,579
167945,945
436296,296
354124,124
370778,778
26092,92
295821,821
180359,359
72979,979
111525,525
103637,637
219853,853
267442,442
432772,772
143509,509
402721,721
161355,355
99146,146
109109,109
496535,535
23170,170
190004,4
157878,878
402554,554
74729,729
141546,546
219199,199
13983,983
228462,462
298494,494
264211,211
337868,868
26182,182
284799,799
367714,714
455023,23
161093,93
26121,121
147549,549
118525,525
277012,12
265205,205
467258,258
74796,796
244412,412
443528,528
400277,277
322538,538
205007,7
197181,181
161332,332
342321,321
317597,597
360181,181
98716,716
109802,802
242867,867
5619,619
124389,389
361781,781
334735,735
384329,329
165893,893
427828,828
134522,522
301510,510
484594,594
325841,841
311308,308
455460,460
170947,947
485110,110
657,657
176666,666
51874,874
3855,855
386563,563
265217,217
419449,449
180510,510
311034,34
60243,243
471161,161
20344,344
47204,204
102576,576
382209,209
129063,63
457191,191
190963,963
161421,421
8051,51
52366,366
272652,652
293111,111
288638,638
333441,441
139072,72
178894,894
333589,589
244054,54
54016,16
420989,989
312346,346
292484,484
345052,52
68107,107
225133,133
139583,583
274292,292
33767,767
417343,343
18660,660
52907,907
258410,410
228941,941
122946,946
130880,880
222232,232
83968,968
170675,675
169448,448
183445,445
388059,59
467277,277
487458,458
419100,100
433880,880
430264,264
319207,207
188505,505
37220,220
272181,181
45281,281
393177,177
436223,223
288282,282
41940,940
208658,658
156443,443
464998,998
45164,164
104042,42
322341,341
416359,359
365198,198
192080,80
22170,170
174364,364
186240,240
497953,953
116495,495
175111,111
346273,273
299915,915
117304,304
239549,549
178400,400
460024,24
406158,158
468643,643
206660,660
162570,570
191690,690
452895,895
323140,140
79901,901
51449,449
254614,614
296329,329
429025,25
483395,395
366085,85
480329,329
151158,158
107337,337
56997,997
109038,38
225089,89
454034,34
